1.05,0.6,2,petz,8.0333960497114276e-06,2.0653088444018465e-04,4.9828335964898565e-05
1.05,0.6,2,rotated,8.0333960497114276e-06,1.7793255005795882e-04,4.8052525898164819e-05
1.05,0.6,3,petz,8.7407570958930592e-08,1.7966896842785664e-06,4.7300847755150321e-07
1.05,0.6,3,rotated,8.7407570958930592e-08,5.6499766570748146e-06,1.6425582225916288e-06
1.05,0.6,4,rotated,1.0517995363557020e-09,2.2734698244143089e-07,6.6632831739200168e-08
1.05,0.6,5,rotated,1.3200107673583261e-11,9.2680747374470599e-09,2.7024300881417122e-09
1.05,0.3,1,petz,2.8107310415137476e-05,1.9390900032022324e-03,2.1051906713044922e-04
1.05,0.3,1,rotated,2.8107310415137476e-05,3.3374595262820064e-04,4.3897843386114266e-05
1.05,0.3,2,petz,1.9121920047382446e-08,9.6920566023799144e-06,1.0530661667714768e-06
1.05,0.3,2,rotated,1.9121920047382446e-08,3.8799483413475993e-06,4.8456026823398328e-07
1.05,0.3,3,petz,1.8259171952195175e-11,1.8662546055389328e-08,2.0526321251292123e-09
1.05,0.3,3,rotated,1.8259171952195175e-11,3.9793932926372012e-08,4.9390400721198799e-09
1.05,0.3,4,petz,1.9539925233402755e-14,5.5102286827156815e-11,6.6129623807010236e-12
1.05,0.3,4,rotated,1.9539925233402755e-14,3.7141997732780111e-10,4.6449893764646729e-11
1.05,0.3,5,petz,-8.8817841970012523e-16,2.6347153984383511e-13,3.8412487896246140e-14
1.05,0.3,5,rotated,-8.8817841970012523e-16,3.1877130042439088e-12,4.1153165049378564e-13
1.05,0.3,6,petz,-8.8817841970012523e-16,4.1073172562429943e-15,4.8953427910816682e-16
1.05,0.3,6,rotated,-8.8817841970012523e-16,2.6071410337669492e-14,3.5721875327588744e-15
1.05,0.6,1,petz,9.8200363092537657e-04,9.6190848291836384e-03,2.3267747487151999e-03
1.05,0.6,1,rotated,9.8200363092537657e-04,5.7633786822072659e-03,1.5509147728402857e-03
1.05,0.6,4,petz,1.0517995363557020e-09,3.5580436720084346e-08,1.0447783521718134e-08
1.05,0.6,5,petz,1.3200107673583261e-11,1.1958089727937971e-09,3.5685951913707880e-10
1.05,0.6,6,petz,1.7053025658242404e-13,4.0971057642325396e-11,1.2335024235234596e-11
1.05,0.6,6,rotated,1.7053025658242404e-13,3.4695463818967291e-10,1.0240987255785954e-10
1.1,0.3,1,petz,3.0564548540112924e-05,2.0216522947839929e-03,2.2480194378702114e-04
1.1,0.3,1,rotated,3.0564548540112924e-05,3.6307888630516394e-04,4.8902300482349987e-05
1.1,0.3,2,petz,2.2669941479591671e-08,1.0577966116843606e-05,1.1771869554796755e-06
1.1,0.3,2,rotated,2.2669941479591671e-08,4.3735860288865399e-06,5.5998329395576423e-07
1.1,0.3,3,petz,2.3589130648815626e-11,2.1492401102783643e-08,2.4217656351299564e-09
1.1,0.3,3,rotated,2.3589130648815626e-11,4.6419948146039854e-08,5.9079518424061249e-09
1.1,0.3,4,petz,2.4868995751603507e-14,6.4623460227334176e-11,7.9815012524779764e-12
1.1,0.3,4,rotated,2.4868995751603507e-14,4.4767429266856577e-10,5.7475369509088593e-11
1.1,0.3,5,petz,-8.8817841970012523e-16,3.2525774030843810e-13,4.8659149089203135e-14
